SKIP-MARKER  test-silent-data-loss-fixes.js 30418ms
PASS         test-outbox-durability.js 210ms
PASS         test-outbox-ordering.js 333ms
PASS         test-outbox-claim.js 368ms
PASS         test-file-delivery-order.js 2722ms
PASS         test-meta-campaign-routing.js 100ms
PASS         test-meta-switch-inflight.js 268ms
PASS         test-meta-cancellation-boundary.js 3374ms
PASS         test-meta-mixed-rollout-routing.js 3527ms
PASS         test-meta-gateway-reliability.js 144ms
PASS         test-meta-gateway-lookup-failure-isolation.js 8478ms
PASS         test-meta-gateway-inbox.js 176ms
PASS         test-meta-routes-cache.js 103ms
PASS         test-inbox-sender-concurrency.js 2755ms
PASS         test-meta-webhook-signature.js 359ms
PASS         test-meta-media-cache.js 142ms
PASS         test-meta-contact-payload.js 122ms
PASS         test-meta-typing-indicator.js 124ms
PASS         test-meta-trigger-age-window.js 159ms
PASS         test-meta-speed-and-list-presentation.js 194ms
PASS         test-message-delays.js 387ms
PASS         test-flow-concurrency.js 5266ms
PASS         test-flow-recovery.js 1567ms
PASS         test-decision-pending-registration-order.js 3239ms
PASS         test-conversation-state-flow-rehydration.js 60115ms
PASS         test-conversation-state-atomic-write.js 178ms
PASS         test-campaign-delete-conversations.js 3486ms
PASS         test-campaign-data-reset.js 157ms
PASS         test-service-bot-flow.js 3076ms
PASS         test-service-bot-ui.js 109ms
PASS         test-group-join-flow.js 193ms
TIMEOUT/ERROR test-referral-ranking.js 240015ms
PASS         test-email-capture.js 2724ms
PASS         test-email-export.js 3431ms
PASS         test-whatsapp-link-normalization.js 106ms
PASS         test-postgres-delta.js 1301ms
PASS         test-postgres-row-snapshot.js 3914ms
PASS         test-postgres-no-lost-writes.js 489ms
PASS         test-postgres-transactions.js 2891ms
PASS         test-postgres-dirty-tables.js 254ms
PASS         test-flush-scoped-wait.js 6483ms
PASS         test-migration-safety.js 1633ms
PASS         test-graceful-shutdown.js 6143ms
PASS         test-provider-health.js 2929ms
PASS         test-client-disable.js 129ms
PASS         test-system-alerts.js 3394ms
PASS         test-dokploy-provisioner-postgres.js 111ms
PASS         test-redeploy-existing-client.js 104ms
PASS         test-bulk-redeploy-status.js 143ms
BLOCKED      test-backup-tool.js 2657ms
{"total":50,"pass":47,"fail":1,"blocked":1,"skipMarker":1}
